x, y
4.589509692132269, 196060.03752345216
9.578107183580387, 365853.65853658534
13.768529076396806, 444652.9080675422
24.34435575826682, 529080.6754221389
41.70467502850627, 445590.9943714822
65.84948688711516, 282363.9774859287
83.60889395667047, 191369.60600375236
103.1641961231471, 126641.65103189493
118.12998859749145, 87242.0262664165
132.2976054732041, 52532.833020637896
145.26795895096922, 24390.243902439026
156.04332953249715, 11257.03564727955
165.02280501710376, 4690.431519699812
170.01140250855187, 1876.172607879925
70.83808437856328, 250469.04315197
57.2690992018244, 332082.5515947467
50.48460661345496, 378986.86679174483
45.695553021664765, 419324.57786116324
34.92018244013683, 490619.1369606004
30.530216647662485, 515009.3808630394
19.555302166476626, 510318.9493433396
16.562143671607753, 482176.3602251407
11.77309007981756, 409943.7148217636
8.779931584948688, 327392.1200750469
6.984036488027366, 280487.8048780488
5.587229190421892, 239212.00750469044
3.79133409350057, 158536.58536585365
1.9954389965792474, 87242.0262664165
0.5986316989737742, 35647.27954971857
3.192702394526796, 123827.39212007505
1.396807297605473, 60037.5234521576
91.39110604332953, 159474.67166979364
110.74686431014823, 108818.01125703564
124.9144811858609, 69418.38649155722
138.0843785632839, 40337.71106941839
78.62029646522235, 214821.76360225142
61.259977194982895, 309568.4803001876
53.677309007981755, 357410.8818011257
37.9133409350057, 470919.3245778612
