x, y
4.589509692132269, 196060.03752345216
9.578107183580387, 365853.65853658534
13.768529076396806, 444652.9080675422
24.34435575826682, 529080.6754221389
41.70467502850627, 445590.9943714822
65.84948688711516, 282363.9774859287
83.60889395667047, 191369.60600375236
103.1641961231471, 126641.65103189493
118.12998859749145, 87242.0262664165
132.2976054732041, 52532.833020637896
145.26795895096922, 24390.243902439026
156.04332953249715, 11257.03564727955
165.02280501710376, 4690.431519699812
170.01140250855187, 1876.172607879925
70.83808437856328, 250469.04315197
57.2690992018244, 332082.5515947467
50.48460661345496, 378986.86679174483
45.695553021664765, 419324.57786116324
34.92018244013683, 490619.1369606004
30.530216647662485, 515009.3808630394
19.555302166476626, 510318.9493433396
16.562143671607753, 482176.3602251407
11.77309007981756, 409943.7148217636
8.779931584948688, 327392.1200750469
6.984036488027366, 280487.8048780488
5.587229190421892, 239212.00750469044
3.79133409350057, 158536.58536585365
1.9954389965792474, 87242.0262664165
0.5986316989737742, 35647.27954971857
3.192702394526796, 123827.39212007505
1.396807297605473, 60037.5234521576
91.39110604332953, 159474.67166979364
110.74686431014823, 108818.01125703564
124.9144811858609, 69418.38649155722
138.0843785632839, 40337.71106941839
78.62029646522235, 214821.76360225142
61.259977194982895, 309568.4803001876
53.677309007981755, 357410.8818011257
37.9133409350057, 470919.3245778612
0.000001, 0.0000001
2.5940706955530217, 107879.92495309569
3.3922462941847207, 139774.85928705442
4.19042189281642, 178236.39774859286
5.188141391106043, 215759.84990619138
6.584948688711516, 258911.81988742965
7.782212086659065, 303939.96247654787
8.979475484606613, 346153.8461538461
10.974914481185861, 389305.81613508443
12.371721778791335, 426829.26829268294
14.566704675028506, 464352.7204502814
17.7594070695553, 497185.7410881801
21.15165336374002, 523452.15759849903
27.537058152793612, 522514.0712945591
32.725199543899656, 503752.3452157598
39.908779931584945, 458724.20262664167
43.899657924743444, 432457.7861163227
48.09007981755986, 399624.76547842403
55.672748004561, 343339.5872420263
59.26453819840365, 321763.6022514071
68.04446978335234, 268292.68292682926
73.43215507411631, 239212.00750469044
76.02622576966932, 227954.97185741088
80.81527936145952, 201688.55534709193
87.59977194982896, 177298.3114446529
95.38198403648802, 147279.5497185741
99.97149372862029, 136022.51407129457
106.95553021664766, 116322.70168855535
114.13911060433296, 97560.9756097561
120.92360319270239, 77861.16322701689
128.50627137970352, 60975.60975609756
141.47662485746864, 32833.020637898684
150.25655644241732, 18761.72607879925
160.6328392246294, 8442.776735459662
174.2018244013683, 1876.172607879925
175.99771949828963, 0.000001
