   Step          Time           Temp          PotEng         TotEng         Press          Volume        Atoms       c_tsurf     v_inserted_atoms
      8400   25.542814      1259.4399     -20460.426     -19439.048     -1202.4447      237332.26           6275   1425.7764      7            
      8550   26.207228      1214.4081     -20423.847     -19438.989     -1959.7427      237332.26           6275   1253.9494      7            
      8700   27.028164      1235.9242     -20441.787     -19439.479     -292.58353      237332.26           6275   1311.4105      7            
      8850   27.84398       1229.1445     -20436.572     -19439.763     -1036.908       237332.26           6275   1259.7844      7            
      9000   28.646114      1207.3095     -20418.89      -19439.789     -1588.408       237332.26           6275   1237.5599      7            
      9036   28.845065      1374.7411     -20455.038     -19339.975     -1561.1465      237332.26           6276   1274.5065      8            
      9150   28.910486      1352.0009     -20436.595     -19339.977     -1266.9334      237332.26           6276   1237.0069      8            
      9300   28.996566      1349.1569     -20434.292     -19339.981     -1091.2879      237332.26           6276   1242.889       8            
      9450   29.10181       1323.3657     -20413.322     -19339.93      -251.1874       237332.26           6276   1558.2537      8            
      9600   29.483368      1283.0384     -20380.632     -19339.95      -72.600044      237332.26           6276   1333.9947      8            
      9750   30.108609      1296.5419     -20391.935     -19340.3       -420.52211      237332.26           6276   1384.8328      8            
      9900   30.88689       1244.9545     -20349.971     -19340.179     -2118.4195      237332.26           6276   1301.729       8            
     10050   31.682949      1263.2629     -20365.056     -19340.414     -69.754181      237332.26           6276   1339.3508      8            
     10200   32.461045      1280.5429     -20379.469     -19340.811      240.73837      237332.26           6276   1301.3961      8            
     10350   33.260624      1261.023      -20363.981     -19341.156     -1437.9139      237332.26           6276   1301.3313      8            
     10387   33.448506      1403.4479     -20379.845     -19241.317     -2110.415       237332.26           6277   1299.8278      9            
     10500   33.513353      1401.2746     -20378.085     -19241.32      -2277.0163      237332.26           6277   1282.4392      9            
     10604   33.573036      1501.9788     -20359.977     -19141.322     -1293.6121      237332.26           6278   1283.2628      10           
     10650   33.599434      1497.0479     -20355.976     -19141.322     -1067.0783      237332.26           6278   1280.9297      10           
     10800   33.685416      1510.8993     -20367.305     -19141.413     -1545.168       237332.26           6278   1354.1152      10           
     10950   33.771496      1464.3763     -20329.479     -19141.334     -134.35825      237332.26           6278   1441.4896      10           
     11100   33.911988      1429.693      -20301.354     -19141.349      1104.565       237332.26           6278   1663.6926      10           
     11250   34.11936       1379.2595     -20260.432     -19141.348      1367.731       237332.26           6278   1481.8974      10           
     11400   34.326731      1384.57       -20264.779     -19141.386      914.4755       237332.26           6278   1465.6431      10           
