   Step          Time           Temp          PotEng         TotEng         Press          Volume        Atoms       c_tsurf     v_inserted_atoms
      9150   36.943359      1524.3322     -19431.613     -18194.822     -7713.7562      237332.26           6274   1965.6254      20           
      9300   37.291409      1585.8934     -19481.686     -18194.946     -2419.6224      237332.26           6274   1914.8563      20           
      9450   37.639459      1639.7123     -19525.528     -18195.122      4078.4154      237332.26           6274   1899.4118      20           
      9600   38.09546       1645.1502     -19536.563     -18201.745      7093.8275      237332.26           6273   1893.6205      20           
      9750   38.758123      1562.9644     -19469.98      -18201.843     -558.70192      237332.26           6273   1762.3642      20           
      9900   39.458984      1482.2383     -19404.625     -18201.987     -6848.9512      237332.26           6273   1641.2181      20           
     10050   40.177419      1546.7624     -19457.597     -18202.607     -3038.556       237332.26           6273   1719.4634      20           
     10200   40.891049      1596.2081     -19498.409     -18203.3        2901.2213      237332.26           6273   1732.9421      20           
     10350   41.601823      1549.1986     -19460.686     -18203.719      940.19163      237332.26           6273   1608.2122      20           
     10500   42.315133      1510.9644     -19430.008     -18204.063     -4024.2181      237332.26           6273   1623.3263      20           
     10650   43.051433      1524.8132     -19441.889     -18204.707     -3365.4197      237332.26           6273   1593.5942      20           
     10800   43.785694      1542.5252     -19456.796     -18205.243      1212.3941      237332.26           6273   1594.0631      20           
     10950   44.511813      1552.2574     -19465.227     -18205.778      1129.4951      237332.26           6273   1549.1547      20           
     11100   45.249843      1544.4036     -19459.285     -18206.209     -2580.3989      237332.26           6273   1590.4097      20           
     11250   45.973156      1527.8007     -19446.267     -18206.661     -2558.2451      237332.26           6273   1567.2102      20           
     11400   46.684153      1540.9091     -19457.52      -18207.278     -148.71464      237332.26           6273   1561.4272      20           
     11550   47.401744      1553.4735     -19468.32      -18207.885     -314.72727      237332.26           6273   1570.0008      20           
     11700   48.098898      1548.4117     -19464.985     -18208.656     -1102.9987      237332.26           6273   1543.4632      20           
     11850   48.820668      1535.0643     -19454.341     -18208.843     -2466.0397      237332.26           6273   1574.2863      20           
     12000   49.539094      1540.1282     -19458.943     -18209.335     -1361.9814      237332.26           6273   1576.6866      20           
     12150   50.232912      1546.6297     -19464.941     -18210.059     -163.59864      237332.26           6273   1556.4946      20           
